RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises
DATE;FREQUENCE_RETENUE(EN Hz);
01/03/2016 01:37:10;50,0125;
01/03/2016 01:37:20;49,9965;
01/03/2016 01:37:30;49,9953;
01/03/2016 01:37:40;50,0099;
01/03/2016 01:37:50;50,0141;
01/03/2016 01:38:00;50,0136;
01/03/2016 01:38:10;50,0201;
01/03/2016 01:38:20;50,0179;
01/03/2016 01:38:30;50,0114;
01/03/2016 01:38:40;50,0144;
01/03/2016 01:38:50;50,0056;
01/03/2016 01:39:00;50,0092;
01/03/2016 01:39:10;50,0115;
01/03/2016 01:39:20;50,0202;
01/03/2016 01:39:30;50,0153;
01/03/2016 01:39:40;50,01;
01/03/2016 01:39:50;50,0111;
01/03/2016 01:40:00;50,0069;
01/03/2016 01:40:10;50,0097;
01/03/2016 01:40:20;50,0185;
01/03/2016 01:40:30;50,0194;
01/03/2016 01:40:40;50,0133;
01/03/2016 01:40:50;50,0124;
01/03/2016 01:41:00;50,0175;
01/03/2016 01:41:10;50,021;
01/03/2016 01:41:20;50,0269;
01/03/2016 01:41:30;50,0235;
01/03/2016 01:41:40;50,0206;
01/03/2016 01:41:50;50,0191;
01/03/2016 01:42:00;50,0226;
01/03/2016 01:42:10;50,0205;
01/03/2016 01:42:20;50,0164;
01/03/2016 01:42:30;50,0202;
01/03/2016 01:42:40;50,0179;
01/03/2016 01:42:50;50,0156;
01/03/2016 01:43:00;50,0259;
01/03/2016 01:43:10;50,0239;
01/03/2016 01:43:20;50,0269;
01/03/2016 01:43:30;50,0243;
01/03/2016 01:43:40;50,0283;
01/03/2016 01:43:50;50,0323;
01/03/2016 01:44:00;50,0339;
01/03/2016 01:44:10;50,0309;
01/03/2016 01:44:20;50,0339;
01/03/2016 01:44:30;50,0357;
01/03/2016 01:44:40;50,0374;
01/03/2016 01:44:50;50,0337;
01/03/2016 01:45:00;50,0333;
01/03/2016 01:45:10;50,0329;
01/03/2016 01:45:20;50,0329;
01/03/2016 01:45:30;50,0348;
01/03/2016 01:45:40;50,0372;
01/03/2016 01:45:50;50,0229;
01/03/2016 01:46:00;50,0283;
01/03/2016 01:46:10;50,0315;
01/03/2016 01:46:20;50,026;
01/03/2016 01:46:30;50,0337;
01/03/2016 01:46:40;50,0336;
01/03/2016 01:46:50;50,0404;
01/03/2016 01:47:00;50,0438;
01/03/2016 01:47:10;50,0414;
01/03/2016 01:47:20;50,0428;
01/03/2016 01:47:30;50,0473;
01/03/2016 01:47:40;50,0379;
01/03/2016 01:47:50;50,0279;
01/03/2016 01:48:00;50,033;
01/03/2016 01:48:10;50,0464;
01/03/2016 01:48:20;50,0515;
01/03/2016 01:48:30;50,0427;
01/03/2016 01:48:40;50,0415;
01/03/2016 01:48:50;50,039;
01/03/2016 01:49:00;50,0437;
01/03/2016 01:49:10;50,0368;
01/03/2016 01:49:20;50,0435;
01/03/2016 01:49:30;50,0489;
01/03/2016 01:49:40;50,0477;
01/03/2016 01:49:50;50,0505;
01/03/2016 01:50:00;50,0501;
